Type,Gene
protein_coding,ERC1
protein_coding,ERC2
sense_intronic,ERC2-IT1
protein_coding,ERCC1
protein_coding,ERCC2
protein_coding,ERCC3
protein_coding,ERCC4
protein_coding,ERCC5
protein_coding,ERCC6
protein_coding,ERCC6L
protein_coding,ERCC6L2
protein_coding,ERCC8
protein_coding,EREG
protein_coding,ERF
protein_coding,ERG
protein_coding,ERGIC1
protein_coding,ERGIC2
protein_coding,ERGIC3
protein_coding,ERH
protein_coding,ERI1
protein_coding,ERI2
protein_coding,ERI3
sense_intronic,ERI3-IT1
lincRNA,ERICD
protein_coding,ERICH1
antisense,ERICH1-AS1
protein_coding,ERICH2
protein_coding,ERICH3
protein_coding,ERICH4
protein_coding,ERICH5
protein_coding,ERICH6
protein_coding,ERICH6B
protein_coding,ERLEC1
protein_coding,ERLIN1
protein_coding,ERLIN2
protein_coding,ERMAP
protein_coding,ERMARD
protein_coding,ERMN
protein_coding,ERMP1
protein_coding,ERN1
protein_coding,ERN2
protein_coding,ERO1A
protein_coding,ERO1B
protein_coding,ERP27
protein_coding,ERP29
protein_coding,ERP44
protein_coding,ERRFI1
protein_coding,ERV3-1
protein_coding,ERVFRD-1
lincRNA,ERVH48-1
processed_transcript,ERVK13-1
protein_coding,ERVK3-1
protein_coding,ERVMER34-1
protein_coding,ERVV-1
protein_coding,ERVV-2
protein_coding,ERVW-1
protein_coding,ESAM
protein_coding,ESCO1
protein_coding,ESCO2
protein_coding,ESD
protein_coding,ESF1
protein_coding,ESM1
protein_coding,ESPL1
protein_coding,ESPN
protein_coding,ESPNL
pseudogene,ESPNP
protein_coding,ESR1
protein_coding,ESR2
sense_intronic,ESRG
protein_coding,ESRP1
protein_coding,ESRP2
protein_coding,ESRRA
protein_coding,ESRRB
protein_coding,ESRRG
protein_coding,ESX1
protein_coding,ESYT1
protein_coding,ESYT2
protein_coding,ESYT3
protein_coding,ETAA1
protein_coding,ETF1
processed_pseudogene,ETF1P1
processed_pseudogene,ETF1P2
protein_coding,ETFA
protein_coding,ETFB
protein_coding,ETFDH
protein_coding,ETHE1
protein_coding,ETNK1
protein_coding,ETNK2
protein_coding,ETNPPL
protein_coding,ETS1
protein_coding,ETS2
protein_coding,ETV1
protein_coding,ETV2
protein_coding,ETV3
protein_coding,ETV3L
protein_coding,ETV4
protein_coding,ETV5
protein_coding,ETV6
protein_coding,ETV7
protein_coding,EVA1A
protein_coding,EVA1B
protein_coding,EVA1C
protein_coding,EVC
protein_coding,EVC2
protein_coding,EVI2A
protein_coding,EVI2B
protein_coding,EVI5
protein_coding,EVI5L
protein_coding,EVL
protein_coding,EVPL
protein_coding,EVPLL
protein_coding,EVX1
antisense,EVX1-AS
protein_coding,EVX2
protein_coding,EWSR1
protein_coding,EXD1
protein_coding,EXD2
protein_coding,EXD3
protein_coding,EXO1
protein_coding,EXO5
protein_coding,EXOC1
protein_coding,EXOC2
protein_coding,EXOC3
protein_coding,EXOC3L1
protein_coding,EXOC3L2
protein_coding,EXOC3L4
protein_coding,EXOC4
protein_coding,EXOC5
protein_coding,EXOC6
protein_coding,EXOC6B
protein_coding,EXOC7
protein_coding,EXOC8
protein_coding,EXOG
protein_coding,EXOSC1
protein_coding,EXOSC10
protein_coding,EXOSC2
protein_coding,EXOSC3
processed_pseudogene,EXOSC3P2
protein_coding,EXOSC4
protein_coding,EXOSC5
protein_coding,EXOSC6
protein_coding,EXOSC7
protein_coding,EXOSC8
protein_coding,EXOSC9
protein_coding,EXPH5
protein_coding,EXT1
protein_coding,EXT2
protein_coding,EXTL1
protein_coding,EXTL2
protein_coding,EXTL3
antisense,EXTL3-AS1
protein_coding,EYA1
protein_coding,EYA2
protein_coding,EYA3
protein_coding,EYA4
protein_coding;overexpressed_ribodepletion,EYS
protein_coding,EZH1
protein_coding,EZH2
protein_coding,EZR
antisense,EZR-AS1
protein_coding,F10
antisense,F10-AS1
protein_coding,F11
antisense,F11-AS1
protein_coding,F11R
protein_coding,F12
protein_coding,F13A1
protein_coding,F13B
protein_coding,F2
protein_coding,F2R
protein_coding,F2RL1
protein_coding,F2RL2
protein_coding,F2RL3
protein_coding,F3
protein_coding,F5
protein_coding,F7
protein_coding,F8
protein_coding,F8A1
protein_coding,F8A2
protein_coding,F8A3
protein_coding,F9
protein_coding,FA2H
protein_coding,FAAH
protein_coding,FAAH2
protein_coding,FAAP100
protein_coding,FAAP20
protein_coding,FABP1
protein_coding,FABP12
protein_coding,FABP2
protein_coding,FABP3
processed_pseudogene,FABP3P2
protein_coding,FABP4
protein_coding,FABP5
pseudogene,FABP5P3
protein_coding,FABP6
protein_coding,FABP7
protein_coding,FABP9
protein_coding,FADD
protein_coding,FADS1
protein_coding,FADS2
unprocessed_pseudogene,FADS2P1
protein_coding,FADS3
protein_coding,FADS6
protein_coding,FAF1
protein_coding,FAF2
protein_coding,FAH
protein_coding,FAHD1
protein_coding,FAHD2A
protein_coding,FAHD2B
pseudogene,FAHD2CP
protein_coding,FAIM
protein_coding,FAIM2
protein_coding,FAM101A
protein_coding,FAM101B
protein_coding,FAM102A
protein_coding,FAM102B
protein_coding,FAM103A1
protein_coding,FAM104A
protein_coding,FAM104B
protein_coding,FAM105A
protein_coding,FAM107A
protein_coding,FAM107B
protein_coding,FAM109A
protein_coding,FAM109B
protein_coding,FAM110A
protein_coding,FAM110B
protein_coding,FAM110C
protein_coding,FAM110D
protein_coding,FAM111A
protein_coding,FAM111B
protein_coding,FAM114A1
protein_coding,FAM114A2
protein_coding,FAM117A
protein_coding,FAM117B
protein_coding,FAM118A
protein_coding,FAM118B
protein_coding,FAM120A
protein_coding,FAM120AOS
protein_coding,FAM120B
protein_coding,FAM120C
protein_coding,FAM122A
protein_coding,FAM122B
protein_coding,FAM122C
protein_coding,FAM124A
protein_coding,FAM124B
protein_coding,FAM126A
protein_coding,FAM126B
protein_coding;underexpressed_ribodepletion,FAM127A
protein_coding;underexpressed_ribodepletion,FAM127B
protein_coding,FAM127C
protein_coding,FAM129A
protein_coding,FAM129B
protein_coding,FAM129C
protein_coding,FAM131A
protein_coding,FAM131B
protein_coding,FAM131C
protein_coding,FAM132A
protein_coding,FAM132B
protein_coding,FAM133A
protein_coding,FAM133B
pseudogene,FAM133CP
pseudogene,FAM133DP
protein_coding,FAM134A
protein_coding,FAM134B
protein_coding,FAM134C
protein_coding,FAM135A
protein_coding,FAM135B
protein_coding,FAM136A
lincRNA,FAM138A
lincRNA,FAM138B
lincRNA,FAM138C
lincRNA,FAM138D
lincRNA,FAM138E
lincRNA,FAM138F
protein_coding,FAM13A
antisense,FAM13A-AS1
protein_coding,FAM13B
protein_coding,FAM13C
protein_coding,FAM149A
protein_coding,FAM149B1
protein_coding,FAM150A
protein_coding,FAM150B
protein_coding,FAM151A
protein_coding,FAM151B
protein_coding,FAM153A
protein_coding,FAM153B
protein_coding,FAM153C
protein_coding,FAM155A
sense_intronic,FAM155A-IT1
protein_coding,FAM155B
protein_coding,FAM156A
protein_coding,FAM156B
lincRNA,FAM157A
lincRNA,FAM157B
processed_transcript,FAM157C
protein_coding,FAM159A
protein_coding,FAM159B
protein_coding,FAM160A1
protein_coding,FAM160A2
protein_coding,FAM160B1
protein_coding,FAM160B2
protein_coding,FAM161A
protein_coding,FAM161B
protein_coding,FAM162A
protein_coding,FAM162B
protein_coding,FAM163A
protein_coding,FAM163B
protein_coding,FAM166A
protein_coding,FAM166B
protein_coding,FAM167A
antisense,FAM167A-AS1
protein_coding,FAM167B
protein_coding,FAM168A
protein_coding,FAM168B
protein_coding,FAM169A
protein_coding,FAM169B
protein_coding,FAM170A
protein_coding,FAM170B
antisense,FAM170B-AS1
protein_coding,FAM171A1
protein_coding,FAM171A2
protein_coding,FAM171B
protein_coding,FAM172A
pseudogene,FAM172BP
protein_coding,FAM173A
protein_coding,FAM173B
protein_coding,FAM174A
protein_coding,FAM174B
protein_coding,FAM175A
protein_coding,FAM175B
protein_coding,FAM177A1
protein_coding,FAM177B
protein_coding,FAM178B
protein_coding,FAM179A
protein_coding,FAM179B
protein_coding,FAM180A
protein_coding,FAM180B
protein_coding,FAM181A
processed_transcript,FAM181A-AS1
protein_coding,FAM181B
processed_transcript,FAM182A
protein_coding,FAM182B
protein_coding,FAM183A
lincRNA,FAM183CP
protein_coding,FAM184A
protein_coding,FAM184B
protein_coding,FAM185A
protein_coding,FAM186A
protein_coding,FAM186B
protein_coding,FAM187A
protein_coding,FAM187B
protein_coding,FAM188A
protein_coding,FAM188B
protein_coding,FAM188B2
protein_coding,FAM189A1
protein_coding,FAM189A2
protein_coding,FAM189B
protein_coding,FAM192A
protein_coding,FAM193A
protein_coding,FAM193B
protein_coding,FAM196A
protein_coding;overexpressed_ribodepletion,FAM196B
unprocessed_pseudogene,FAM197Y1
transcribed_unprocessed_pseudogene,FAM197Y2
transcribed_unprocessed_pseudogene,FAM197Y3
transcribed_unprocessed_pseudogene,FAM197Y4
lincRNA,FAM197Y5
transcribed_unprocessed_pseudogene,FAM197Y6
transcribed_unprocessed_pseudogene,FAM197Y7
transcribed_unprocessed_pseudogene,FAM197Y9
protein_coding,FAM198A
protein_coding,FAM198B
protein_coding,FAM199X
protein_coding,FAM19A1
protein_coding,FAM19A2
protein_coding,FAM19A3
protein_coding,FAM19A4
protein_coding,FAM19A5
protein_coding,FAM200A
protein_coding,FAM200B
antisense,FAM201A
pseudogene,FAM201B
protein_coding,FAM204A
protein_coding,FAM205A
protein_coding,FAM205C
protein_coding,FAM206A
protein_coding,FAM207A
protein_coding,FAM208A
protein_coding,FAM208B
protein_coding,FAM209A
protein_coding,FAM209B
protein_coding,FAM20A
protein_coding,FAM20B
protein_coding,FAM20C
protein_coding,FAM210A
protein_coding,FAM210B
protein_coding,FAM212A
protein_coding,FAM212B
antisense,FAM212B-AS1
protein_coding,FAM213A
protein_coding,FAM213B
protein_coding,FAM214A
protein_coding,FAM214B
protein_coding,FAM215A
protein_coding,FAM216A
protein_coding,FAM216B
protein_coding,FAM217A
protein_coding,FAM217B
protein_coding,FAM218A
protein_coding,FAM219A
protein_coding,FAM219B
protein_coding,FAM21A
protein_coding,FAM21C
transcribed_unprocessed_pseudogene,FAM21EP
protein_coding,FAM220A
protein_coding,FAM221A
protein_coding,FAM221B
protein_coding,FAM222A
antisense,FAM222A-AS1
protein_coding,FAM222B
lincRNA,FAM224A
lincRNA,FAM224B
lincRNA,FAM225A
lincRNA,FAM225B
sense_intronic,FAM226A
sense_intronic,FAM226B
protein_coding,FAM227A
protein_coding,FAM227B
protein_coding,FAM228A
protein_coding,FAM228B
protein_coding,FAM229A
protein_coding,FAM229B
protein_coding,FAM230A
processed_transcript,FAM230B
lincRNA,FAM230C
protein_coding,FAM231A
protein_coding,FAM231B
protein_coding,FAM231C
protein_coding,FAM234A
protein_coding,FAM234B
protein_coding,FAM237A
protein_coding,FAM24A
protein_coding,FAM24B
protein_coding,FAM25A
transcribed_unprocessed_pseudogene,FAM25BP
protein_coding,FAM25C
protein_coding,FAM25E
protein_coding,FAM25G
protein_coding,FAM26D
protein_coding,FAM26E
protein_coding,FAM26F
protein_coding,FAM27B
protein_coding,FAM27C
protein_coding,FAM27E2
protein_coding,FAM27E3
protein_coding,FAM32A
protein_coding,FAM35A
pseudogene,FAM35BP
pseudogene,FAM35DP
protein_coding,FAM3A
protein_coding,FAM3B
protein_coding,FAM3C
processed_pseudogene,FAM3C2
protein_coding,FAM3D
lincRNA,FAM41AY1
lincRNA,FAM41C
protein_coding,FAM43A
protein_coding,FAM43B
protein_coding,FAM45A
protein_coding,FAM46A
protein_coding,FAM46B
protein_coding,FAM46C
protein_coding,FAM46D
protein_coding,FAM47A
protein_coding,FAM47B
protein_coding,FAM47C
processed_pseudogene,FAM47DP
protein_coding,FAM47E
protein_coding,FAM47E-STBD1
protein_coding,FAM49A
protein_coding,FAM49B
protein_coding,FAM50A
protein_coding,FAM50B
protein_coding,FAM53A
protein_coding,FAM53B
antisense,FAM53B-AS1
protein_coding,FAM53C
protein_coding,FAM57A
protein_coding,FAM57B
protein_coding,FAM58A
protein_coding,FAM59A
protein_coding,FAM59B
protein_coding,FAM60A
protein_coding,FAM63A
protein_coding,FAM63B
protein_coding,FAM64A
protein_coding,FAM65A
protein_coding,FAM65B
protein_coding,FAM65C
processed_transcript,FAM66A
lincRNA,FAM66B
antisense,FAM66C
antisense,FAM66D
lincRNA,FAM66E
protein_coding,FAM69A
protein_coding,FAM69B
protein_coding,FAM69C
protein_coding,FAM71A
protein_coding,FAM71B
protein_coding;overexpressed_ribodepletion,FAM71C
protein_coding,FAM71D
protein_coding,FAM71E1
protein_coding,FAM71E2
protein_coding,FAM71F1
protein_coding,FAM71F2
protein_coding,FAM72A
protein_coding,FAM72B
protein_coding,FAM72C
protein_coding,FAM72D
protein_coding,FAM73A
protein_coding,FAM73B
lincRNA,FAM74A1
lincRNA,FAM74A3
lincRNA,FAM74A4
lincRNA,FAM74A6
lincRNA,FAM74A7
protein_coding,FAM76A
protein_coding,FAM76B
protein_coding,FAM78A
protein_coding,FAM78B
protein_coding,FAM81A
protein_coding,FAM81B
protein_coding,FAM83A
antisense,FAM83A-AS1
protein_coding,FAM83B
protein_coding,FAM83C
antisense,FAM83C-AS1
protein_coding,FAM83D
protein_coding,FAM83E
protein_coding,FAM83F
protein_coding,FAM83G
protein_coding,FAM83H
lincRNA,FAM83H-AS1
protein_coding,FAM84A
protein_coding,FAM84B
antisense,FAM85A
protein_coding,FAM86B1
protein_coding,FAM86B2
pseudogene,FAM86B3P
protein_coding,FAM86C1
pseudogene,FAM86C2P
pseudogene,FAM86DP
pseudogene,FAM86EP
pseudogene,FAM86FP
pseudogene,FAM86HP
pseudogene,FAM86JP
pseudogene,FAM86KP
lincRNA,FAM87A
lincRNA,FAM87B
protein_coding,FAM89A
protein_coding,FAM89B
protein_coding,FAM8A1
unprocessed_pseudogene,FAM8A2P
protein_coding,FAM90A1
pseudogene,FAM90A10P
unprocessed_pseudogene,FAM90A21P
transcribed_unprocessed_pseudogene,FAM90A24P
pseudogene,FAM90A25P
protein_coding,FAM90A26
pseudogene,FAM90A27P
pseudogene,FAM90A2P
unprocessed_pseudogene,FAM90A4P
unprocessed_pseudogene,FAM90A6P
pseudogene,FAM90A7P
protein_coding,FAM91A1
transcribed_processed_pseudogene,FAM91A3P
protein_coding,FAM92A1
pseudogene,FAM92A1P2
protein_coding,FAM92B
processed_transcript,FAM95B1
protein_coding,FAM96A
protein_coding,FAM96B
protein_coding,FAM98A
protein_coding,FAM98B
protein_coding,FAM98C
processed_transcript,FAM99A
antisense,FAM99B
protein_coding,FAM9A
protein_coding,FAM9B
protein_coding,FAM9C
protein_coding,FAN1
protein_coding,FANCA
protein_coding,FANCB
protein_coding,FANCC
protein_coding,FANCD2
protein_coding,FANCD2OS
pseudogene,FANCD2P2
protein_coding,FANCE
protein_coding,FANCF
protein_coding,FANCG
protein_coding,FANCI
protein_coding,FANCL
protein_coding,FANCM
protein_coding,FANK1
antisense,FANK1-AS1
protein_coding,FAP
protein_coding,FAR1
protein_coding,FAR2
pseudogene,FAR2P1
pseudogene,FAR2P2
protein_coding,FARP1
protein_coding,FARP2
protein_coding,FARS2
protein_coding,FARSA
protein_coding,FARSB
processed_pseudogene,FARSBP1
protein_coding,FAS
protein_coding,FASLG
protein_coding,FASN
protein_coding,FASTK
protein_coding,FASTKD1
protein_coding,FASTKD2
protein_coding,FASTKD3
protein_coding,FASTKD5
protein_coding,FAT1
processed_pseudogene,FAT1P1
protein_coding,FAT2
protein_coding;overexpressed_ribodepletion,FAT3
protein_coding,FAT4
protein_coding,FATE1
protein_coding,FAU
processed_pseudogene,FAUP1
protein_coding,FAXC
protein_coding,FAXDC2
protein_coding,FBF1
protein_coding,FBL
protein_coding,FBLIM1
protein_coding,FBLL1
protein_coding,FBLN1
protein_coding,FBLN2
protein_coding,FBLN5
protein_coding,FBLN7
protein_coding,FBN1
protein_coding,FBN2
protein_coding,FBN3
protein_coding,FBP1
protein_coding,FBP2
protein_coding;underexpressed_ribodepletion,FBRS
protein_coding,FBRSL1
protein_coding,FBXL12
protein_coding,FBXL13
protein_coding,FBXL14
protein_coding,FBXL15
protein_coding,FBXL16
protein_coding,FBXL17
protein_coding,FBXL18
protein_coding,FBXL19
antisense,FBXL19-AS1
protein_coding,FBXL2
protein_coding,FBXL20
polymorphic_pseudogene,FBXL21
protein_coding,FBXL22
protein_coding,FBXL3
protein_coding,FBXL4
protein_coding,FBXL5
protein_coding,FBXL6
protein_coding,FBXL7
protein_coding,FBXL8
protein_coding,FBXO10
protein_coding,FBXO11
protein_coding,FBXO15
protein_coding,FBXO16
protein_coding,FBXO17
protein_coding,FBXO18
protein_coding,FBXO2
protein_coding,FBXO21
protein_coding,FBXO22
protein_coding,FBXO24
protein_coding,FBXO25
protein_coding,FBXO27
protein_coding,FBXO28
protein_coding,FBXO3
protein_coding,FBXO30
protein_coding,FBXO31
protein_coding,FBXO32
protein_coding,FBXO33
protein_coding,FBXO34
protein_coding,FBXO36
protein_coding,FBXO38
protein_coding,FBXO39
protein_coding,FBXO4
protein_coding,FBXO40
protein_coding,FBXO41
protein_coding,FBXO42
protein_coding,FBXO43
protein_coding,FBXO44
protein_coding,FBXO45
protein_coding,FBXO46
protein_coding,FBXO47
protein_coding,FBXO48
protein_coding,FBXO5
protein_coding,FBXO6
protein_coding,FBXO7
protein_coding,FBXO8
protein_coding,FBXO9
protein_coding,FBXW10
protein_coding,FBXW11
processed_pseudogene,FBXW11P1
protein_coding,FBXW12
protein_coding,FBXW2
protein_coding,FBXW4
pseudogene,FBXW4P1
protein_coding,FBXW5
protein_coding,FBXW7
protein_coding,FBXW8
protein_coding,FBXW9
protein_coding,FCAMR
protein_coding,FCAR
protein_coding,FCER1A
protein_coding,FCER1G
protein_coding,FCER2
protein_coding,FCF1
pseudogene,FCF1P2
protein_coding,FCGBP
protein_coding,FCGR1A
protein_coding,FCGR1B
protein_coding,FCGR2A
protein_coding,FCGR2B
polymorphic_pseudogene,FCGR2C
protein_coding,FCGR3A
protein_coding,FCGR3B
protein_coding,FCGRT
protein_coding,FCHO1
protein_coding,FCHO2
protein_coding,FCHSD1
protein_coding,FCHSD2
protein_coding,FCMR
protein_coding,FCN1
protein_coding,FCN2
protein_coding,FCN3
protein_coding,FCRL1
protein_coding,FCRL2
protein_coding,FCRL3
protein_coding,FCRL4
protein_coding,FCRL5
protein_coding,FCRL6
protein_coding,FCRLA
protein_coding,FCRLB
protein_coding,FDCSP
protein_coding,FDFT1
protein_coding,FDPS
pseudogene,FDPSP2
processed_pseudogene,FDPSP4
protein_coding,FDX1
protein_coding,FDX1L
protein_coding,FDXACB1
protein_coding,FDXR
protein_coding,FECH
protein_coding,FEM1A
processed_pseudogene,FEM1AP2
protein_coding,FEM1B
protein_coding,FEM1C
protein_coding,FEN1
lincRNA,FENDRR
protein_coding;overexpressed_ribodepletion,FER
pseudogene,FER1L4
pseudogene,FER1L5
protein_coding,FER1L6
antisense,FER1L6-AS1
antisense,FER1L6-AS2
protein_coding,FERD3L
protein_coding,FERMT1
protein_coding,FERMT2
protein_coding,FERMT3
protein_coding,FES
protein_coding,FETUB
protein_coding,FEV
protein_coding,FEZ1
protein_coding,FEZ2
protein_coding,FEZF1
antisense,FEZF1-AS1
protein_coding,FEZF2
protein_coding,FFAR1
protein_coding,FFAR2
protein_coding,FFAR3
protein_coding,FFAR4
protein_coding,FGA
protein_coding,FGB
protein_coding,FGD1
protein_coding,FGD2
protein_coding,FGD3
protein_coding,FGD4
protein_coding,FGD5
antisense,FGD5-AS1
pseudogene,FGD5P1
protein_coding,FGD6
protein_coding,FGF1
protein_coding,FGF10
antisense,FGF10-AS1
protein_coding,FGF11
protein_coding,FGF12
antisense,FGF12-AS1
protein_coding,FGF13
antisense,FGF13-AS1
protein_coding,FGF14
antisense,FGF14-AS1
lincRNA,FGF14-AS2
lincRNA,FGF14-IT1
protein_coding,FGF16
protein_coding,FGF17
protein_coding,FGF18
protein_coding,FGF19
protein_coding,FGF2
protein_coding,FGF20
protein_coding,FGF21
protein_coding,FGF22
protein_coding,FGF23
protein_coding,FGF3
protein_coding,FGF4
protein_coding,FGF5
protein_coding,FGF6
protein_coding,FGF7
unprocessed_pseudogene,FGF7P2
protein_coding,FGF8
protein_coding,FGF9
protein_coding,FGFBP1
protein_coding,FGFBP2
protein_coding,FGFBP3
protein_coding,FGFR1
protein_coding,FGFR1OP
protein_coding,FGFR1OP2
protein_coding,FGFR2
protein_coding,FGFR3
processed_pseudogene,FGFR3P1
unprocessed_pseudogene,FGFR3P5
protein_coding,FGFR4
protein_coding,FGFRL1
protein_coding,FGG
protein_coding,FGGY
protein_coding,FGL1
protein_coding,FGL2
protein_coding,FGR
protein_coding,FH
protein_coding,FHAD1
protein_coding,FHDC1
protein_coding,FHIT
protein_coding,FHL1
protein_coding,FHL2
protein_coding,FHL3
protein_coding,FHL5
protein_coding,FHOD1
protein_coding,FHOD3
protein_coding,FIBCD1
protein_coding,FIBIN
protein_coding,FIBP
protein_coding,FICD
protein_coding,FIG4
protein_coding,FIGF
protein_coding,FIGLA
protein_coding,FIGN
protein_coding,FIGNL1
protein_coding,FIGNL2
protein_coding,FILIP1
protein_coding,FILIP1L
protein_coding,FIP1L1
processed_transcript,FIRRE
protein_coding,FIS1
protein_coding,FITM1
protein_coding,FITM2
protein_coding,FIZ1
protein_coding,FJX1
protein_coding,FKBP10
protein_coding,FKBP11
protein_coding,FKBP14
protein_coding,FKBP15
protein_coding,FKBP1A
processed_pseudogene,FKBP1AP2
protein_coding,FKBP1B
protein_coding,FKBP1C
protein_coding,FKBP2
protein_coding,FKBP3
protein_coding,FKBP4
protein_coding,FKBP5
protein_coding,FKBP6
protein_coding,FKBP7
protein_coding,FKBP8
protein_coding,FKBP9
protein_coding,FKBPL
protein_coding,FKRP
protein_coding,FKTN
protein_coding,FLAD1
protein_coding,FLCN
protein_coding,FLG
antisense,FLG-AS1
protein_coding,FLG2
protein_coding,FLI1
protein_coding,FLII
protein_coding,FLNA
protein_coding,FLNB
protein_coding,FLNC
protein_coding,FLOT1
protein_coding,FLOT2
protein_coding,FLRT1
protein_coding,FLRT2
protein_coding,FLRT3
protein_coding,FLT1
protein_coding,FLT3
protein_coding,FLT3LG
protein_coding,FLT4
protein_coding,FLVCR1
lincRNA,FLVCR1-AS1
protein_coding,FLVCR2
protein_coding,FLYWCH1
protein_coding,FLYWCH2
protein_coding,FMN1
protein_coding,FMN2
protein_coding,FMNL1
protein_coding,FMNL2
protein_coding,FMNL3
protein_coding,FMO1
unprocessed_pseudogene,FMO10P
unprocessed_pseudogene,FMO11P
protein_coding,FMO2
protein_coding,FMO3
protein_coding,FMO4
protein_coding,FMO5
protein_coding,FMO6P
unprocessed_pseudogene,FMO7P
unprocessed_pseudogene,FMO8P
pseudogene,FMO9P
protein_coding,FMOD
protein_coding,FMR1
processed_transcript,FMR1-AS1
protein_coding,FMR1NB
protein_coding,FN1
protein_coding,FN3K
protein_coding,FN3KRP
protein_coding,FNBP1
protein_coding,FNBP1L
protein_coding,FNBP4
protein_coding,FNDC1
protein_coding,FNDC3A
protein_coding,FNDC3B
unitary_pseudogene,FNDC3CP
protein_coding,FNDC4
protein_coding,FNDC5
protein_coding,FNDC7
protein_coding,FNDC8
protein_coding,FNDC9
protein_coding,FNIP1
protein_coding,FNIP2
protein_coding,FNTA
protein_coding,FNTB
protein_coding,FOCAD
protein_coding,FOLH1
pseudogene,FOLH1B
protein_coding,FOLR1
protein_coding,FOLR2
protein_coding,FOLR3
protein_coding,FOPNL
protein_coding,FOS
protein_coding,FOSB
protein_coding,FOSL1
protein_coding,FOSL2
protein_coding,FOXA1
protein_coding,FOXA2
protein_coding,FOXA3
protein_coding,FOXB1
protein_coding,FOXB2
protein_coding,FOXC1
protein_coding,FOXC2
lincRNA,FOXCUT
protein_coding,FOXD1
protein_coding,FOXD2
antisense,FOXD2-AS1
protein_coding,FOXD3
protein_coding,FOXD4
protein_coding,FOXD4L1
protein_coding,FOXD4L3
protein_coding,FOXD4L4
protein_coding,FOXD4L5
protein_coding,FOXD4L6
protein_coding,FOXE1
protein_coding,FOXE3
protein_coding,FOXF1
protein_coding,FOXF2
protein_coding,FOXG1
protein_coding,FOXH1
protein_coding,FOXI1
protein_coding,FOXI2
processed_transcript,FOXI3
protein_coding,FOXJ1
protein_coding,FOXJ2
protein_coding,FOXJ3
protein_coding,FOXK1
protein_coding,FOXK2
protein_coding,FOXL1
protein_coding,FOXL2
protein_coding,FOXL2NB
protein_coding,FOXM1
protein_coding,FOXN1
protein_coding,FOXN2
protein_coding,FOXN3
antisense,FOXN3-AS1
antisense,FOXN3-AS2
protein_coding,FOXN4
protein_coding,FOXO1
protein_coding,FOXO3
pseudogene,FOXO3B
protein_coding,FOXO4
protein_coding,FOXO6
protein_coding,FOXP1
antisense,FOXP1-AS1
protein_coding,FOXP2
protein_coding,FOXP3
protein_coding,FOXP4
protein_coding,FOXQ1
protein_coding,FOXR1
protein_coding,FOXR2
protein_coding,FOXRED1
protein_coding,FOXRED2
protein_coding,FOXS1
protein_coding,FPGS
protein_coding,FPGT
protein_coding,FPGT-TNNI3K
protein_coding,FPR1
protein_coding,FPR2
protein_coding,FPR3
protein_coding,FRA10AC1
protein_coding,FRAS1
protein_coding,FRAT1
protein_coding,FRAT2
protein_coding,FREM1
protein_coding,FREM2
antisense,FREM2-AS1
protein_coding,FREM3
protein_coding,FRG1
unprocessed_pseudogene,FRG1CP
unprocessed_pseudogene,FRG1DP
unprocessed_pseudogene,FRG1EP
unprocessed_pseudogene,FRG1FP
unprocessed_pseudogene,FRG1GP
transcribed_unprocessed_pseudogene,FRG1HP
unprocessed_pseudogene,FRG1JP
protein_coding,FRG2
protein_coding,FRG2B
protein_coding,FRG2C
transcribed_unprocessed_pseudogene,FRG2DP
unprocessed_pseudogene,FRG2EP
transcribed_unprocessed_pseudogene,FRG2FP
unprocessed_pseudogene,FRG2GP
unprocessed_pseudogene,FRG2HP
unprocessed_pseudogene,FRG2IP
unprocessed_pseudogene,FRG2JP
protein_coding,FRK
protein_coding,FRMD1
protein_coding,FRMD3
protein_coding,FRMD4A
protein_coding,FRMD4B
protein_coding,FRMD5
protein_coding,FRMD6
antisense,FRMD6-AS1
lincRNA,FRMD6-AS2
protein_coding,FRMD7
protein_coding,FRMD8
pseudogene,FRMD8P1
protein_coding,FRMPD1
protein_coding,FRMPD2
protein_coding,FRMPD3
antisense,FRMPD3-AS1
protein_coding,FRMPD4
protein_coding,FRRS1
protein_coding,FRRS1L
protein_coding,FRS2
protein_coding;underexpressed_ribodepletion,FRS3
protein_coding,FRY
antisense,FRY-AS1
protein_coding,FRYL
protein_coding,FRZB
protein_coding,FSBP
protein_coding,FSCB
protein_coding,FSCN1
protein_coding,FSCN2
protein_coding,FSCN3
protein_coding,FSD1
protein_coding,FSD1L
protein_coding,FSD2
protein_coding,FSHB
protein_coding,FSHR
protein_coding,FSIP1
protein_coding,FSIP2
protein_coding,FST
protein_coding,FSTL1
protein_coding,FSTL3
protein_coding,FSTL4
protein_coding,FSTL5
protein_coding,FTCD
protein_coding,FTCDNL1
protein_coding,FTH1
processed_pseudogene,FTH1P15
pseudogene,FTH1P18
unprocessed_pseudogene,FTH1P19
unprocessed_pseudogene,FTH1P27
pseudogene,FTH1P3
processed_pseudogene,FTH1P7
protein_coding,FTHL17
protein_coding,FTL
pseudogene,FTLP10
processed_pseudogene,FTLP12
processed_pseudogene,FTLP13
processed_pseudogene,FTLP5
protein_coding,FTMT
protein_coding,FTO
sense_intronic,FTO-IT1
protein_coding,FTSJ1
protein_coding,FTSJ3
lincRNA,FTX
protein_coding,FUBP1
protein_coding,FUBP3
